"id","n","label","parent"
"total -  Adventure  -  Latvia","146","Latvia","total -  Adventure"
"total -  Animation  -  Latvia","80","Latvia","total -  Animation"
"total -  Comedy  -  Latvia","233","Latvia","total -  Comedy"
"total -  Crime  -  Latvia","107","Latvia","total -  Crime"
"total -  Drama  -  Latvia","278","Latvia","total -  Drama"
"total -  Mystery  -  Latvia","59","Latvia","total -  Mystery"
"total -  Romance  -  Latvia","90","Latvia","total -  Romance"
"total -  Sci Fi  -  Latvia","45","Latvia","total -  Sci Fi"
"total -  Thriller  -  Latvia","50","Latvia","total -  Thriller"
"total -  Action  -  Lebanon","193","Lebanon","total -  Action"
"total -  Adventure  -  Lebanon","108","Lebanon","total -  Adventure"
"total -  Comedy  -  Lebanon","179","Lebanon","total -  Comedy"
"total -  Crime  -  Lebanon","136","Lebanon","total -  Crime"
"total -  Drama  -  Lebanon","364","Lebanon","total -  Drama"
"total -  Fantasy  -  Lebanon","46","Lebanon","total -  Fantasy"
"total -  Mystery  -  Lebanon","34","Lebanon","total -  Mystery"
"total -  Romance  -  Lebanon","113","Lebanon","total -  Romance"
"total -  Sci Fi  -  Lebanon","29","Lebanon","total -  Sci Fi"
"total -  Thriller  -  Lebanon","74","Lebanon","total -  Thriller"
"total -  Action  -  Lithuania","141","Lithuania","total -  Action"
"total -  Adventure  -  Lithuania","100","Lithuania","total -  Adventure"
"total -  Animation  -  Lithuania","46","Lithuania","total -  Animation"
"total -  Comedy  -  Lithuania","207","Lithuania","total -  Comedy"
"total -  Crime  -  Lithuania","118","Lithuania","total -  Crime"
"total -  Drama  -  Lithuania","284","Lithuania","total -  Drama"
"total -  Fantasy  -  Lithuania","30","Lithuania","total -  Fantasy"
"total -  Mystery  -  Lithuania","45","Lithuania","total -  Mystery"
"total -  Romance  -  Lithuania","105","Lithuania","total -  Romance"
"total -  Thriller  -  Lithuania","59","Lithuania","total -  Thriller"
"total -  Action  -  Luxembourg","170","Luxembourg","total -  Action"
"total -  Adventure  -  Luxembourg","129","Luxembourg","total -  Adventure"
"total -  Animation  -  Luxembourg","50","Luxembourg","total -  Animation"
"total -  Comedy  -  Luxembourg","176","Luxembourg","total -  Comedy"
"total -  Crime  -  Luxembourg","139","Luxembourg","total -  Crime"
"total -  Drama  -  Luxembourg","335","Luxembourg","total -  Drama"
"total -  Fantasy  -  Luxembourg","44","Luxembourg","total -  Fantasy"
"total -  Mystery  -  Luxembourg","48","Luxembourg","total -  Mystery"
"total -  Romance  -  Luxembourg","98","Luxembourg","total -  Romance"
"total -  Thriller  -  Luxembourg","60","Luxembourg","total -  Thriller"
"total -  Action  -  Malaysia","239","Malaysia","total -  Action"
"total -  Adventure  -  Malaysia","113","Malaysia","total -  Adventure"
"total -  Animation  -  Malaysia","38","Malaysia","total -  Animation"
"total -  Comedy  -  Malaysia","193","Malaysia","total -  Comedy"
"total -  Crime  -  Malaysia","147","Malaysia","total -  Crime"
"total -  Drama  -  Malaysia","303","Malaysia","total -  Drama"
"total -  Fantasy  -  Malaysia","39","Malaysia","total -  Fantasy"
"total -  Mystery  -  Malaysia","72","Malaysia","total -  Mystery"
"total -  Romance  -  Malaysia","104","Malaysia","total -  Romance"
"total -  Thriller  -  Malaysia","73","Malaysia","total -  Thriller"
"total -  Action  -  Maldives","202","Maldives","total -  Action"
"total -  Adventure  -  Maldives","110","Maldives","total -  Adventure"
"total -  Animation  -  Maldives","41","Maldives","total -  Animation"
"total -  Comedy  -  Maldives","190","Maldives","total -  Comedy"
"total -  Crime  -  Maldives","158","Maldives","total -  Crime"
"total -  Drama  -  Maldives","313","Maldives","total -  Drama"
"total -  Fantasy  -  Maldives","34","Maldives","total -  Fantasy"
"total -  Mystery  -  Maldives","72","Maldives","total -  Mystery"
"total -  Romance  -  Maldives","94","Maldives","total -  Romance"
"total -  Thriller  -  Maldives","65","Maldives","total -  Thriller"
"total -  Action  -  Malta","165","Malta","total -  Action"
"total -  Adventure  -  Malta","88","Malta","total -  Adventure"
"total -  Comedy  -  Malta","165","Malta","total -  Comedy"
"total -  Crime  -  Malta","144","Malta","total -  Crime"
"total -  Documentary  -  Malta","36","Malta","total -  Documentary"
"total -  Drama  -  Malta","334","Malta","total -  Drama"
"total -  Mystery  -  Malta","56","Malta","total -  Mystery"
"total -  Romance  -  Malta","103","Malta","total -  Romance"
"total -  Sci Fi  -  Malta","42","Malta","total -  Sci Fi"
"total -  Thriller  -  Malta","67","Malta","total -  Thriller"
"total -  Action  -  Martinique","215","Martinique","total -  Action"
"total -  Adventure  -  Martinique","112","Martinique","total -  Adventure"
"total -  Animation  -  Martinique","43","Martinique","total -  Animation"
"total -  Comedy  -  Martinique","165","Martinique","total -  Comedy"
"total -  Crime  -  Martinique","141","Martinique","total -  Crime"
"total -  Drama  -  Martinique","343","Martinique","total -  Drama"
"total -  Fantasy  -  Martinique","39","Martinique","total -  Fantasy"
"total -  Mystery  -  Martinique","39","Martinique","total -  Mystery"
"total -  Romance  -  Martinique","79","Martinique","total -  Romance"
"total -  Thriller  -  Martinique","67","Martinique","total -  Thriller"
"total -  Action  -  Mauritius","204","Mauritius","total -  Action"
"total -  Adventure  -  Mauritius","106","Mauritius","total -  Adventure"
"total -  Comedy  -  Mauritius","198","Mauritius","total -  Comedy"
"total -  Crime  -  Mauritius","147","Mauritius","total -  Crime"
"total -  Drama  -  Mauritius","323","Mauritius","total -  Drama"
"total -  Fantasy  -  Mauritius","43","Mauritius","total -  Fantasy"
"total -  Mystery  -  Mauritius","63","Mauritius","total -  Mystery"
"total -  Romance  -  Mauritius","98","Mauritius","total -  Romance"
"total -  Sci Fi  -  Mauritius","41","Mauritius","total -  Sci Fi"
"total -  Thriller  -  Mauritius","63","Mauritius","total -  Thriller"
"total -  Action  -  Mexico","119","Mexico","total -  Action"
"total -  Adventure  -  Mexico","133","Mexico","total -  Adventure"
"total -  Animation  -  Mexico","81","Mexico","total -  Animation"
"total -  Comedy  -  Mexico","213","Mexico","total -  Comedy"
"total -  Crime  -  Mexico","100","Mexico","total -  Crime"
"total -  Drama  -  Mexico","321","Mexico","total -  Drama"
"total -  Fantasy  -  Mexico","30","Mexico","total -  Fantasy"
"total -  Mystery  -  Mexico","42","Mexico","total -  Mystery"
"total -  Romance  -  Mexico","105","Mexico","total -  Romance"
"total -  Thriller  -  Mexico","60","Mexico","total -  Thriller"
"total -  Action  -  Morocco","238","Morocco","total -  Action"
"total -  Adventure  -  Morocco","104","Morocco","total -  Adventure"
"total -  Animation  -  Morocco","30","Morocco","total -  Animation"
"total -  Comedy  -  Morocco","173","Morocco","total -  Comedy"
"total -  Crime  -  Morocco","190","Morocco","total -  Crime"
"total -  Drama  -  Morocco","355","Morocco","total -  Drama"
"total -  Mystery  -  Morocco","56","Morocco","total -  Mystery"
"total -  Romance  -  Morocco","79","Morocco","total -  Romance"
"total -  Sci Fi  -  Morocco","31","Morocco","total -  Sci Fi"
"total -  Thriller  -  Morocco","84","Morocco","total -  Thriller"
"total -  Action  -  Netherlands","162","Netherlands","total -  Action"
"total -  Adventure  -  Netherlands","122","Netherlands","total -  Adventure"
"total -  Animation  -  Netherlands","56","Netherlands","total -  Animation"
"total -  Comedy  -  Netherlands","164","Netherlands","total -  Comedy"
"total -  Crime  -  Netherlands","145","Netherlands","total -  Crime"
"total -  Drama  -  Netherlands","335","Netherlands","total -  Drama"
"total -  Fantasy  -  Netherlands","38","Netherlands","total -  Fantasy"
"total -  Mystery  -  Netherlands","52","Netherlands","total -  Mystery"
"total -  Romance  -  Netherlands","85","Netherlands","total -  Romance"
"total -  Thriller  -  Netherlands","68","Netherlands","total -  Thriller"
"total -  Action  -  New Caledonia","260","New Caledonia","total -  Action"
"total -  Adventure  -  New Caledonia","140","New Caledonia","total -  Adventure"
"total -  Animation  -  New Caledonia","60","New Caledonia","total -  Animation"
"total -  Comedy  -  New Caledonia","143","New Caledonia","total -  Comedy"
"total -  Crime  -  New Caledonia","142","New Caledonia","total -  Crime"
"total -  Drama  -  New Caledonia","332","New Caledonia","total -  Drama"
"total -  Fantasy  -  New Caledonia","54","New Caledonia","total -  Fantasy"
"total -  Mystery  -  New Caledonia","34","New Caledonia","total -  Mystery"
"total -  Romance  -  New Caledonia","64","New Caledonia","total -  Romance"
"total -  Thriller  -  New Caledonia","69","New Caledonia","total -  Thriller"
"total -  Action  -  New Zealand","201","New Zealand","total -  Action"
"total -  Adventure  -  New Zealand","124","New Zealand","total -  Adventure"
"total -  Animation  -  New Zealand","69","New Zealand","total -  Animation"
"total -  Comedy  -  New Zealand","166","New Zealand","total -  Comedy"
"total -  Crime  -  New Zealand","147","New Zealand","total -  Crime"
"total -  Drama  -  New Zealand","299","New Zealand","total -  Drama"
"total -  Mystery  -  New Zealand","48","New Zealand","total -  Mystery"
"total -  Romance  -  New Zealand","64","New Zealand","total -  Romance"
"total -  Sci Fi  -  New Zealand","38","New Zealand","total -  Sci Fi"
"total -  Thriller  -  New Zealand","66","New Zealand","total -  Thriller"
"total -  Action  -  Nicaragua","129","Nicaragua","total -  Action"
"total -  Adventure  -  Nicaragua","82","Nicaragua","total -  Adventure"
"total -  Animation  -  Nicaragua","39","Nicaragua","total -  Animation"
"total -  Comedy  -  Nicaragua","188","Nicaragua","total -  Comedy"
"total -  Crime  -  Nicaragua","99","Nicaragua","total -  Crime"
"total -  Drama  -  Nicaragua","309","Nicaragua","total -  Drama"
"total -  Music  -  Nicaragua","35","Nicaragua","total -  Music"
"total -  Mystery  -  Nicaragua","40","Nicaragua","total -  Mystery"
"total -  Romance  -  Nicaragua","119","Nicaragua","total -  Romance"
"total -  Thriller  -  Nicaragua","68","Nicaragua","total -  Thriller"
"total -  Action  -  Nigeria","189","Nigeria","total -  Action"
"total -  Adventure  -  Nigeria","72","Nigeria","total -  Adventure"
"total -  Comedy  -  Nigeria","140","Nigeria","total -  Comedy"
"total -  Crime  -  Nigeria","142","Nigeria","total -  Crime"
"total -  Drama  -  Nigeria","337","Nigeria","total -  Drama"
"total -  Fantasy  -  Nigeria","36","Nigeria","total -  Fantasy"
"total -  Mystery  -  Nigeria","66","Nigeria","total -  Mystery"
"total -  Romance  -  Nigeria","113","Nigeria","total -  Romance"
"total -  Sci Fi  -  Nigeria","42","Nigeria","total -  Sci Fi"
"total -  Thriller  -  Nigeria","60","Nigeria","total -  Thriller"
"total -  Action  -  Norway","172","Norway","total -  Action"
"total -  Adventure  -  Norway","120","Norway","total -  Adventure"
"total -  Animation  -  Norway","49","Norway","total -  Animation"
"total -  Comedy  -  Norway","178","Norway","total -  Comedy"
"total -  Crime  -  Norway","136","Norway","total -  Crime"
"total -  Drama  -  Norway","340","Norway","total -  Drama"
"total -  Fantasy  -  Norway","38","Norway","total -  Fantasy"
"total -  Mystery  -  Norway","43","Norway","total -  Mystery"
"total -  Romance  -  Norway","90","Norway","total -  Romance"
"total -  Thriller  -  Norway","52","Norway","total -  Thriller"
"total -  Action  -  Oman","189","Oman","total -  Action"
"total -  Adventure  -  Oman","102","Oman","total -  Adventure"
"total -  Comedy  -  Oman","130","Oman","total -  Comedy"
"total -  Crime  -  Oman","122","Oman","total -  Crime"
"total -  Drama  -  Oman","273","Oman","total -  Drama"
"total -  Fantasy  -  Oman","35","Oman","total -  Fantasy"
"total -  Horror  -  Oman","29","Oman","total -  Horror"
"total -  Mystery  -  Oman","44","Oman","total -  Mystery"
"total -  Romance  -  Oman","55","Oman","total -  Romance"
"total -  Thriller  -  Oman","77","Oman","total -  Thriller"
"total -  Action  -  Pakistan","293","Pakistan","total -  Action"
"total -  Adventure  -  Pakistan","107","Pakistan","total -  Adventure"
"total -  Comedy  -  Pakistan","172","Pakistan","total -  Comedy"
"total -  Crime  -  Pakistan","229","Pakistan","total -  Crime"
"total -  Drama  -  Pakistan","369","Pakistan","total -  Drama"
"total -  Fantasy  -  Pakistan","35","Pakistan","total -  Fantasy"
"total -  Mystery  -  Pakistan","90","Pakistan","total -  Mystery"
"total -  Romance  -  Pakistan","54","Pakistan","total -  Romance"
"total -  Sci Fi  -  Pakistan","40","Pakistan","total -  Sci Fi"
"total -  Thriller  -  Pakistan","83","Pakistan","total -  Thriller"
"total -  Action  -  Panama","143","Panama","total -  Action"
"total -  Adventure  -  Panama","110","Panama","total -  Adventure"
"total -  Animation  -  Panama","56","Panama","total -  Animation"
"total -  Comedy  -  Panama","189","Panama","total -  Comedy"
"total -  Crime  -  Panama","119","Panama","total -  Crime"
"total -  Drama  -  Panama","319","Panama","total -  Drama"
"total -  Fantasy  -  Panama","24","Panama","total -  Fantasy"
"total -  Music  -  Panama","24","Panama","total -  Music"
"total -  Mystery  -  Panama","36","Panama","total -  Mystery"
"total -  Romance  -  Panama","120","Panama","total -  Romance"
"total -  Thriller  -  Panama","72","Panama","total -  Thriller"
"total -  Action  -  Paraguay","135","Paraguay","total -  Action"
"total -  Adventure  -  Paraguay","97","Paraguay","total -  Adventure"
"total -  Animation  -  Paraguay","50","Paraguay","total -  Animation"
"total -  Comedy  -  Paraguay","197","Paraguay","total -  Comedy"
"total -  Crime  -  Paraguay","113","Paraguay","total -  Crime"
"total -  Drama  -  Paraguay","324","Paraguay","total -  Drama"
"total -  Music  -  Paraguay","38","Paraguay","total -  Music"
"total -  Mystery  -  Paraguay","46","Paraguay","total -  Mystery"
"total -  Romance  -  Paraguay","117","Paraguay","total -  Romance"
"total -  Thriller  -  Paraguay","72","Paraguay","total -  Thriller"
"total -  Action  -  Peru","155","Peru","total -  Action"
"total -  Adventure  -  Peru","114","Peru","total -  Adventure"
"total -  Animation  -  Peru","61","Peru","total -  Animation"
"total -  Comedy  -  Peru","187","Peru","total -  Comedy"
"total -  Crime  -  Peru","103","Peru","total -  Crime"
"total -  Drama  -  Peru","292","Peru","total -  Drama"
"total -  Mystery  -  Peru","38","Peru","total -  Mystery"
"total -  Romance  -  Peru","103","Peru","total -  Romance"
"total -  Sci Fi  -  Peru","28","Peru","total -  Sci Fi"
"total -  Thriller  -  Peru","66","Peru","total -  Thriller"
"total -  Action  -  Philippines","201","Philippines","total -  Action"
"total -  Adventure  -  Philippines","99","Philippines","total -  Adventure"
"total -  Comedy  -  Philippines","166","Philippines","total -  Comedy"
"total -  Crime  -  Philippines","118","Philippines","total -  Crime"
"total -  Drama  -  Philippines","322","Philippines","total -  Drama"
"total -  Fantasy  -  Philippines","40","Philippines","total -  Fantasy"
"total -  Mystery  -  Philippines","64","Philippines","total -  Mystery"
"total -  Romance  -  Philippines","118","Philippines","total -  Romance"
"total -  Sci Fi  -  Philippines","51","Philippines","total -  Sci Fi"
"total -  Thriller  -  Philippines","78","Philippines","total -  Thriller"
"total -  Action  -  Poland","150","Poland","total -  Action"
"total -  Adventure  -  Poland","171","Poland","total -  Adventure"
"total -  Animation  -  Poland","100","Poland","total -  Animation"
"total -  Comedy  -  Poland","207","Poland","total -  Comedy"
"total -  Crime  -  Poland","148","Poland","total -  Crime"
"total -  Drama  -  Poland","312","Poland","total -  Drama"
"total -  Fantasy  -  Poland","38","Poland","total -  Fantasy"
"total -  Mystery  -  Poland","51","Poland","total -  Mystery"
"total -  Romance  -  Poland","76","Poland","total -  Romance"
"total -  Thriller  -  Poland","82","Poland","total -  Thriller"
"total -  Action  -  Portugal","161","Portugal","total -  Action"
"total -  Adventure  -  Portugal","112","Portugal","total -  Adventure"
"total -  Animation  -  Portugal","35","Portugal","total -  Animation"
"total -  Comedy  -  Portugal","169","Portugal","total -  Comedy"
"total -  Crime  -  Portugal","115","Portugal","total -  Crime"
"total -  Drama  -  Portugal","312","Portugal","total -  Drama"
"total -  Family  -  Portugal","46","Portugal","total -  Family"
"total -  Music  -  Portugal","57","Portugal","total -  Music"
"total -  Romance  -  Portugal","94","Portugal","total -  Romance"
"total -  Thriller  -  Portugal","66","Portugal","total -  Thriller"
"total -  Action  -  Qatar","205","Qatar","total -  Action"
"total -  Adventure  -  Qatar","121","Qatar","total -  Adventure"
"total -  Animation  -  Qatar","29","Qatar","total -  Animation"
"total -  Comedy  -  Qatar","157","Qatar","total -  Comedy"
"total -  Crime  -  Qatar","134","Qatar","total -  Crime"
"total -  Drama  -  Qatar","325","Qatar","total -  Drama"
"total -  Fantasy  -  Qatar","41","Qatar","total -  Fantasy"
"total -  Horror  -  Qatar","29","Qatar","total -  Horror"
"total -  Mystery  -  Qatar","46","Qatar","total -  Mystery"
"total -  Romance  -  Qatar","101","Qatar","total -  Romance"
"total -  Thriller  -  Qatar","75","Qatar","total -  Thriller"
"total -  Action  -  R<e9>union","207","R<e9>union","total -  Action"
"total -  Adventure  -  R<e9>union","134","R<e9>union","total -  Adventure"
"total -  Animation  -  R<e9>union","57","R<e9>union","total -  Animation"
"total -  Comedy  -  R<e9>union","172","R<e9>union","total -  Comedy"
"total -  Crime  -  R<e9>union","117","R<e9>union","total -  Crime"
"total -  Drama  -  R<e9>union","326","R<e9>union","total -  Drama"
"total -  Fantasy  -  R<e9>union","53","R<e9>union","total -  Fantasy"
"total -  Mystery  -  R<e9>union","41","R<e9>union","total -  Mystery"
"total -  Romance  -  R<e9>union","83","R<e9>union","total -  Romance"
"total -  Thriller  -  R<e9>union","63","R<e9>union","total -  Thriller"
"total -  Action  -  Romania","171","Romania","total -  Action"
"total -  Adventure  -  Romania","108","Romania","total -  Adventure"
"total -  Comedy  -  Romania","161","Romania","total -  Comedy"
"total -  Crime  -  Romania","151","Romania","total -  Crime"
"total -  Drama  -  Romania","354","Romania","total -  Drama"
"total -  Family  -  Romania","27","Romania","total -  Family"
"total -  Fantasy  -  Romania","38","Romania","total -  Fantasy"
"total -  Mystery  -  Romania","68","Romania","total -  Mystery"
"total -  Romance  -  Romania","104","Romania","total -  Romance"
"total -  Thriller  -  Romania","81","Romania","total -  Thriller"
"total -  Action  -  Russia","251","Russia","total -  Action"
"total -  Adventure  -  Russia","134","Russia","total -  Adventure"
"total -  Animation  -  Russia","57","Russia","total -  Animation"
"total -  Comedy  -  Russia","187","Russia","total -  Comedy"
"total -  Crime  -  Russia","213","Russia","total -  Crime"
"total -  Drama  -  Russia","347","Russia","total -  Drama"
"total -  Fantasy  -  Russia","36","Russia","total -  Fantasy"
"total -  Mystery  -  Russia","47","Russia","total -  Mystery"
"total -  Romance  -  Russia","62","Russia","total -  Romance"
"total -  Thriller  -  Russia","72","Russia","total -  Thriller"
"total -  Action  -  Saudi Arabia","227","Saudi Arabia","total -  Action"
"total -  Adventure  -  Saudi Arabia","104","Saudi Arabia","total -  Adventure"
"total -  Animation  -  Saudi Arabia","41","Saudi Arabia","total -  Animation"
"total -  Comedy  -  Saudi Arabia","156","Saudi Arabia","total -  Comedy"
"total -  Crime  -  Saudi Arabia","159","Saudi Arabia","total -  Crime"
"total -  Drama  -  Saudi Arabia","326","Saudi Arabia","total -  Drama"
"total -  Horror  -  Saudi Arabia","31","Saudi Arabia","total -  Horror"
"total -  Mystery  -  Saudi Arabia","48","Saudi Arabia","total -  Mystery"
"total -  Romance  -  Saudi Arabia","70","Saudi Arabia","total -  Romance"
"total -  Sci Fi  -  Saudi Arabia","31","Saudi Arabia","total -  Sci Fi"
"total -  Thriller  -  Saudi Arabia","89","Saudi Arabia","total -  Thriller"
"total -  Action  -  Serbia","202","Serbia","total -  Action"
"total -  Adventure  -  Serbia","114","Serbia","total -  Adventure"
"total -  Animation  -  Serbia","38","Serbia","total -  Animation"
"total -  Comedy  -  Serbia","198","Serbia","total -  Comedy"
"total -  Crime  -  Serbia","152","Serbia","total -  Crime"
"total -  Drama  -  Serbia","318","Serbia","total -  Drama"
"total -  Mystery  -  Serbia","44","Serbia","total -  Mystery"
"total -  Romance  -  Serbia","92","Serbia","total -  Romance"
"total -  Sci Fi  -  Serbia","31","Serbia","total -  Sci Fi"
"total -  Thriller  -  Serbia","78","Serbia","total -  Thriller"
"total -  Action  -  Singapore","220","Singapore","total -  Action"
"total -  Adventure  -  Singapore","104","Singapore","total -  Adventure"
"total -  Comedy  -  Singapore","152","Singapore","total -  Comedy"
"total -  Crime  -  Singapore","132","Singapore","total -  Crime"
"total -  Drama  -  Singapore","316","Singapore","total -  Drama"
"total -  Fantasy  -  Singapore","33","Singapore","total -  Fantasy"
"total -  Mystery  -  Singapore","75","Singapore","total -  Mystery"
"total -  Romance  -  Singapore","91","Singapore","total -  Romance"
"total -  Sci Fi  -  Singapore","53","Singapore","total -  Sci Fi"
"total -  Thriller  -  Singapore","79","Singapore","total -  Thriller"
"total -  Action  -  Slovakia","187","Slovakia","total -  Action"
"total -  Adventure  -  Slovakia","142","Slovakia","total -  Adventure"
"total -  Animation  -  Slovakia","67","Slovakia","total -  Animation"
"total -  Comedy  -  Slovakia","191","Slovakia","total -  Comedy"
"total -  Crime  -  Slovakia","138","Slovakia","total -  Crime"
"total -  Documentary  -  Slovakia","42","Slovakia","total -  Documentary"
"total -  Drama  -  Slovakia","307","Slovakia","total -  Drama"
"total -  Mystery  -  Slovakia","48","Slovakia","total -  Mystery"
"total -  Romance  -  Slovakia","74","Slovakia","total -  Romance"
"total -  Thriller  -  Slovakia","54","Slovakia","total -  Thriller"
"total -  Action  -  Slovenia","175","Slovenia","total -  Action"
"total -  Adventure  -  Slovenia","119","Slovenia","total -  Adventure"
"total -  Animation  -  Slovenia","40","Slovenia","total -  Animation"
"total -  Comedy  -  Slovenia","197","Slovenia","total -  Comedy"
"total -  Crime  -  Slovenia","116","Slovenia","total -  Crime"
"total -  Drama  -  Slovenia","266","Slovenia","total -  Drama"
"total -  Mystery  -  Slovenia","38","Slovenia","total -  Mystery"
"total -  Romance  -  Slovenia","83","Slovenia","total -  Romance"
"total -  Sci Fi  -  Slovenia","36","Slovenia","total -  Sci Fi"
"total -  Thriller  -  Slovenia","56","Slovenia","total -  Thriller"
"total -  Action  -  South Africa","181","South Africa","total -  Action"
"total -  Adventure  -  South Africa","103","South Africa","total -  Adventure"
"total -  Animation  -  South Africa","43","South Africa","total -  Animation"
"total -  Comedy  -  South Africa","192","South Africa","total -  Comedy"
"total -  Crime  -  South Africa","112","South Africa","total -  Crime"
"total -  Drama  -  South Africa","333","South Africa","total -  Drama"
"total -  Mystery  -  South Africa","59","South Africa","total -  Mystery"
"total -  Romance  -  South Africa","104","South Africa","total -  Romance"
"total -  Sci Fi  -  South Africa","54","South Africa","total -  Sci Fi"
"total -  Thriller  -  South Africa","58","South Africa","total -  Thriller"
"total -  Action  -  South Korea","177","South Korea","total -  Action"
"total -  Adventure  -  South Korea","75","South Korea","total -  Adventure"
"total -  Comedy  -  South Korea","159","South Korea","total -  Comedy"
"total -  Crime  -  South Korea","94","South Korea","total -  Crime"
"total -  Drama  -  South Korea","308","South Korea","total -  Drama"
"total -  Fantasy  -  South Korea","35","South Korea","total -  Fantasy"
"total -  Mystery  -  South Korea","41","South Korea","total -  Mystery"
"total -  Romance  -  South Korea","108","South Korea","total -  Romance"
"total -  Sci Fi  -  South Korea","39","South Korea","total -  Sci Fi"
"total -  Thriller  -  South Korea","93","South Korea","total -  Thriller"
"total -  Action  -  Spain","170","Spain","total -  Action"
"total -  Adventure  -  Spain","116","Spain","total -  Adventure"
"total -  Comedy  -  Spain","179","Spain","total -  Comedy"
"total -  Crime  -  Spain","139","Spain","total -  Crime"
"total -  Drama  -  Spain","316","Spain","total -  Drama"
"total -  Fantasy  -  Spain","32","Spain","total -  Fantasy"
"total -  Mystery  -  Spain","46","Spain","total -  Mystery"
"total -  Romance  -  Spain","109","Spain","total -  Romance"
"total -  Sci Fi  -  Spain","32","Spain","total -  Sci Fi"
"total -  Thriller  -  Spain","60","Spain","total -  Thriller"
"total -  Action  -  Sri Lanka","184","Sri Lanka","total -  Action"
"total -  Adventure  -  Sri Lanka","78","Sri Lanka","total -  Adventure"
"total -  Comedy  -  Sri Lanka","181","Sri Lanka","total -  Comedy"
"total -  Crime  -  Sri Lanka","148","Sri Lanka","total -  Crime"
"total -  Drama  -  Sri Lanka","361","Sri Lanka","total -  Drama"
"total -  Fantasy  -  Sri Lanka","32","Sri Lanka","total -  Fantasy"
"total -  Mystery  -  Sri Lanka","77","Sri Lanka","total -  Mystery"
"total -  Romance  -  Sri Lanka","105","Sri Lanka","total -  Romance"
"total -  Sci Fi  -  Sri Lanka","42","Sri Lanka","total -  Sci Fi"
"total -  Thriller  -  Sri Lanka","63","Sri Lanka","total -  Thriller"
"total -  Action  -  Sweden","178","Sweden","total -  Action"
"total -  Adventure  -  Sweden","124","Sweden","total -  Adventure"
"total -  Animation  -  Sweden","55","Sweden","total -  Animation"
"total -  Comedy  -  Sweden","167","Sweden","total -  Comedy"
"total -  Crime  -  Sweden","136","Sweden","total -  Crime"
"total -  Drama  -  Sweden","332","Sweden","total -  Drama"
"total -  Fantasy  -  Sweden","43","Sweden","total -  Fantasy"
"total -  Mystery  -  Sweden","48","Sweden","total -  Mystery"
"total -  Romance  -  Sweden","82","Sweden","total -  Romance"
"total -  Thriller  -  Sweden","58","Sweden","total -  Thriller"
"total -  Action  -  Switzerland","182","Switzerland","total -  Action"
"total -  Adventure  -  Switzerland","123","Switzerland","total -  Adventure"
"total -  Comedy  -  Switzerland","179","Switzerland","total -  Comedy"
"total -  Crime  -  Switzerland","153","Switzerland","total -  Crime"
"total -  Drama  -  Switzerland","335","Switzerland","total -  Drama"
"total -  Family  -  Switzerland","41","Switzerland","total -  Family"
"total -  Fantasy  -  Switzerland","54","Switzerland","total -  Fantasy"
"total -  Mystery  -  Switzerland","56","Switzerland","total -  Mystery"
"total -  Romance  -  Switzerland","88","Switzerland","total -  Romance"
"total -  Thriller  -  Switzerland","63","Switzerland","total -  Thriller"
"total -  Action  -  Taiwan","194","Taiwan","total -  Action"
"total -  Adventure  -  Taiwan","102","Taiwan","total -  Adventure"
"total -  Comedy  -  Taiwan","165","Taiwan","total -  Comedy"
"total -  Crime  -  Taiwan","110","Taiwan","total -  Crime"
"total -  Drama  -  Taiwan","351","Taiwan","total -  Drama"
"total -  Fantasy  -  Taiwan","41","Taiwan","total -  Fantasy"
"total -  Mystery  -  Taiwan","82","Taiwan","total -  Mystery"
"total -  Romance  -  Taiwan","154","Taiwan","total -  Romance"
"total -  Sci Fi  -  Taiwan","55","Taiwan","total -  Sci Fi"
"total -  Thriller  -  Taiwan","61","Taiwan","total -  Thriller"
"total -  Action  -  Thailand","240","Thailand","total -  Action"
"total -  Adventure  -  Thailand","147","Thailand","total -  Adventure"
"total -  Comedy  -  Thailand","207","Thailand","total -  Comedy"
"total -  Crime  -  Thailand","121","Thailand","total -  Crime"
"total -  Drama  -  Thailand","262","Thailand","total -  Drama"
"total -  Fantasy  -  Thailand","49","Thailand","total -  Fantasy"
"total -  Mystery  -  Thailand","58","Thailand","total -  Mystery"
"total -  Romance  -  Thailand","136","Thailand","total -  Romance"
"total -  Sci Fi  -  Thailand","53","Thailand","total -  Sci Fi"
"total -  Thriller  -  Thailand","81","Thailand","total -  Thriller"
"total -  Action  -  Trinidad and Tobago","198","Trinidad and Tobago","total -  Action"
"total -  Adventure  -  Trinidad and Tobago","118","Trinidad and Tobago","total -  Adventure"
"total -  Animation  -  Trinidad and Tobago","52","Trinidad and Tobago","total -  Animation"
"total -  Comedy  -  Trinidad and Tobago","157","Trinidad and Tobago","total -  Comedy"
"total -  Crime  -  Trinidad and Tobago","138","Trinidad and Tobago","total -  Crime"
"total -  Drama  -  Trinidad and Tobago","313","Trinidad and Tobago","total -  Drama"
"total -  Fantasy  -  Trinidad and Tobago","32","Trinidad and Tobago","total -  Fantasy"
"total -  Mystery  -  Trinidad and Tobago","38","Trinidad and Tobago","total -  Mystery"
"total -  Romance  -  Trinidad and Tobago","89","Trinidad and Tobago","total -  Romance"
"total -  Thriller  -  Trinidad and Tobago","88","Trinidad and Tobago","total -  Thriller"
"total -  Action  -  Turkey","203","Turkey","total -  Action"
