"id","n","label","parent"
"total -  Action  -  Bulgaria","214","Bulgaria","total -  Action"
"total -  Adventure  -  Bulgaria","133","Bulgaria","total -  Adventure"
"total -  Animation  -  Bulgaria","45","Bulgaria","total -  Animation"
"total -  Comedy  -  Bulgaria","184","Bulgaria","total -  Comedy"
"total -  Crime  -  Bulgaria","128","Bulgaria","total -  Crime"
"total -  Drama  -  Bulgaria","306","Bulgaria","total -  Drama"
"total -  Mystery  -  Bulgaria","43","Bulgaria","total -  Mystery"
"total -  Romance  -  Bulgaria","97","Bulgaria","total -  Romance"
"total -  Sci Fi  -  Bulgaria","47","Bulgaria","total -  Sci Fi"
"total -  Thriller  -  Bulgaria","61","Bulgaria","total -  Thriller"
"total -  Action  -  Canada","175","Canada","total -  Action"
"total -  Adventure  -  Canada","111","Canada","total -  Adventure"
"total -  Animation  -  Canada","50","Canada","total -  Animation"
"total -  Comedy  -  Canada","168","Canada","total -  Comedy"
"total -  Crime  -  Canada","153","Canada","total -  Crime"
"total -  Drama  -  Canada","297","Canada","total -  Drama"
"total -  Mystery  -  Canada","61","Canada","total -  Mystery"
"total -  Romance  -  Canada","73","Canada","total -  Romance"
"total -  Sci Fi  -  Canada","35","Canada","total -  Sci Fi"
"total -  Thriller  -  Canada","69","Canada","total -  Thriller"
"total -  Action  -  Chile","129","Chile","total -  Action"
"total -  Adventure  -  Chile","117","Chile","total -  Adventure"
"total -  Animation  -  Chile","69","Chile","total -  Animation"
"total -  Comedy  -  Chile","197","Chile","total -  Comedy"
"total -  Crime  -  Chile","97","Chile","total -  Crime"
"total -  Drama  -  Chile","322","Chile","total -  Drama"
"total -  Music  -  Chile","42","Chile","total -  Music"
"total -  Mystery  -  Chile","40","Chile","total -  Mystery"
"total -  Romance  -  Chile","116","Chile","total -  Romance"
"total -  Thriller  -  Chile","62","Chile","total -  Thriller"
"total -  Action  -  Colombia","142","Colombia","total -  Action"
"total -  Adventure  -  Colombia","112","Colombia","total -  Adventure"
"total -  Animation  -  Colombia","56","Colombia","total -  Animation"
"total -  Comedy  -  Colombia","195","Colombia","total -  Comedy"
"total -  Crime  -  Colombia","109","Colombia","total -  Crime"
"total -  Documentary  -  Colombia","40","Colombia","total -  Documentary"
"total -  Drama  -  Colombia","282","Colombia","total -  Drama"
"total -  Mystery  -  Colombia","41","Colombia","total -  Mystery"
"total -  Romance  -  Colombia","107","Colombia","total -  Romance"
"total -  Thriller  -  Colombia","74","Colombia","total -  Thriller"
"total -  Action  -  Costa Rica","119","Costa Rica","total -  Action"
"total -  Adventure  -  Costa Rica","103","Costa Rica","total -  Adventure"
"total -  Animation  -  Costa Rica","55","Costa Rica","total -  Animation"
"total -  Comedy  -  Costa Rica","203","Costa Rica","total -  Comedy"
"total -  Crime  -  Costa Rica","96","Costa Rica","total -  Crime"
"total -  Drama  -  Costa Rica","318","Costa Rica","total -  Drama"
"total -  Music  -  Costa Rica","34","Costa Rica","total -  Music"
"total -  Mystery  -  Costa Rica","37","Costa Rica","total -  Mystery"
"total -  Romance  -  Costa Rica","129","Costa Rica","total -  Romance"
"total -  Thriller  -  Costa Rica","68","Costa Rica","total -  Thriller"
"total -  Action  -  Croatia","162","Croatia","total -  Action"
"total -  Adventure  -  Croatia","116","Croatia","total -  Adventure"
"total -  Animation  -  Croatia","51","Croatia","total -  Animation"
"total -  Comedy  -  Croatia","208","Croatia","total -  Comedy"
"total -  Crime  -  Croatia","133","Croatia","total -  Crime"
"total -  Documentary  -  Croatia","39","Croatia","total -  Documentary"
"total -  Drama  -  Croatia","292","Croatia","total -  Drama"
"total -  Mystery  -  Croatia","43","Croatia","total -  Mystery"
"total -  Romance  -  Croatia","89","Croatia","total -  Romance"
"total -  Thriller  -  Croatia","66","Croatia","total -  Thriller"
"total -  Action  -  Cyprus","199","Cyprus","total -  Action"
"total -  Adventure  -  Cyprus","139","Cyprus","total -  Adventure"
"total -  Animation  -  Cyprus","45","Cyprus","total -  Animation"
"total -  Comedy  -  Cyprus","186","Cyprus","total -  Comedy"
"total -  Crime  -  Cyprus","127","Cyprus","total -  Crime"
"total -  Drama  -  Cyprus","331","Cyprus","total -  Drama"
"total -  Mystery  -  Cyprus","48","Cyprus","total -  Mystery"
"total -  Romance  -  Cyprus","85","Cyprus","total -  Romance"
"total -  Sci Fi  -  Cyprus","51","Cyprus","total -  Sci Fi"
"total -  Thriller  -  Cyprus","59","Cyprus","total -  Thriller"
"total -  Action  -  Czech Republic","194","Czech Republic","total -  Action"
"total -  Adventure  -  Czech Republic","152","Czech Republic","total -  Adventure"
"total -  Animation  -  Czech Republic","81","Czech Republic","total -  Animation"
"total -  Comedy  -  Czech Republic","187","Czech Republic","total -  Comedy"
"total -  Crime  -  Czech Republic","132","Czech Republic","total -  Crime"
"total -  Drama  -  Czech Republic","295","Czech Republic","total -  Drama"
"total -  Fantasy  -  Czech Republic","48","Czech Republic","total -  Fantasy"
"total -  Mystery  -  Czech Republic","55","Czech Republic","total -  Mystery"
"total -  Romance  -  Czech Republic","67","Czech Republic","total -  Romance"
"total -  Thriller  -  Czech Republic","49","Czech Republic","total -  Thriller"
"total -  Action  -  Denmark","179","Denmark","total -  Action"
"total -  Adventure  -  Denmark","124","Denmark","total -  Adventure"
"total -  Animation  -  Denmark","55","Denmark","total -  Animation"
"total -  Comedy  -  Denmark","183","Denmark","total -  Comedy"
"total -  Crime  -  Denmark","141","Denmark","total -  Crime"
"total -  Drama  -  Denmark","314","Denmark","total -  Drama"
"total -  Fantasy  -  Denmark","40","Denmark","total -  Fantasy"
"total -  Mystery  -  Denmark","48","Denmark","total -  Mystery"
"total -  Romance  -  Denmark","87","Denmark","total -  Romance"
